AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Unnamed: 34,is_bug
11.0,0.0,11.0,0.0,2.0,9.0,0.0,1.0,32.0,32.0,32.0,29.0,32.0,8.0,0.0,3.0,21.0,475.0,56.0,379.0,145.0,197.0,40.0,185.0,249.0,128.0,143.0,8.0,3.0,0.11,58.0,,0
14.0,0.0,13.0,1.0,4.0,1.0,14.0,0.0,18.0,18.0,4.0,1.0,18.0,18.0,0.0,0.0,0.0,308.0,30.0,252.0,59.0,179.0,26.0,123.0,153.0,55.0,112.0,42.0,2.0,0.1,66.0,,1
18.0,1.0,15.0,2.0,4.0,7.0,2.0,2.0,34.0,34.0,32.0,24.0,34.0,9.0,8.0,2.0,15.0,775.0,99.0,591.0,222.0,357.0,85.0,314.0,459.0,223.0,303.0,15.0,5.0,0.14,124.0,,0
2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,0.0,0.95,5.0,,0
10.0,1.0,8.0,1.0,2.0,1.0,0.0,1.0,26.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,350.0,53.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,4.0,0.24,58.0,,1
10.0,1.0,8.0,1.0,2.0,1.0,0.0,1.0,26.0,26.0,26.0,7.0,26.0,0.0,8.0,0.0,18.0,350.0,53.0,240.0,75.0,133.0,57.0,123.0,178.0,67.0,129.0,11.0,4.0,0.24,58.0,,1
7.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,95.0,9.0,31.0,14.0,10.0,55.0,16.0,23.0,13.0,10.0,1.0,0.0,1.77,6.0,,0
15.0,1.0,14.0,2.0,1.0,7.0,0.0,6.0,15.0,7.0,15.0,13.0,15.0,3.0,0.0,0.0,12.0,227.0,27.0,178.0,69.0,118.0,36.0,110.0,129.0,63.0,90.0,8.0,2.0,0.2,19.0,,1
15.0,1.0,14.0,2.0,1.0,7.0,0.0,6.0,15.0,7.0,15.0,13.0,15.0,3.0,0.0,0.0,12.0,227.0,27.0,178.0,69.0,118.0,36.0,110.0,129.0,63.0,90.0,8.0,2.0,0.2,19.0,,1
15.0,1.0,14.0,2.0,1.0,7.0,0.0,6.0,15.0,7.0,15.0,13.0,15.0,3.0,0.0,0.0,12.0,227.0,27.0,178.0,69.0,118.0,36.0,110.0,129.0,63.0,90.0,8.0,2.0,0.2,19.0,,1
