Version,CommitId,Fichier,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Unnamed: 34,is_bug
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractCorrelationProcCtx.java,5.0,0.0,5.0,0.0,2.0,1.0,0.0,1.0,8.0,8.0,8.0,5.0,8.0,0.0,0.0,0.0,8.0,99.0,14.0,63.0,28.0,23.0,23.0,35.0,49.0,29.0,22.0,5.0,3.0,0.37,12.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractDeserializer.java,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,68.0,8.0,11.0,10.0,0.0,49.0,9.0,10.0,10.0,0.0,0.0,0.0,4.45,0.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractEncodingAwareSerDe.java,8.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0,3.0,7.0,7.0,1.0,7.0,0.0,0.0,4.0,3.0,87.0,12.0,43.0,27.0,11.0,32.0,23.0,30.0,21.0,11.0,2.0,1.0,0.74,6.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractExpression.java,8.0,0.0,8.0,0.0,2.0,1.0,0.0,1.0,11.0,12.0,12.0,2.0,12.0,0.0,0.0,10.0,2.0,150.0,16.0,121.0,59.0,56.0,13.0,82.0,105.0,58.0,63.0,3.0,2.0,0.11,22.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,Abstract2.1.0MergeOperator.java,18.0,1.0,14.0,4.0,3.0,1.0,1.0,2.0,12.0,12.0,11.0,16.0,12.0,0.0,2.0,4.0,6.0,293.0,23.0,204.0,69.0,118.0,66.0,107.0,142.0,61.0,94.0,9.0,5.0,0.32,33.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractFilterStringColLikeStringScalar.java,13.0,1.0,11.0,1.0,3.0,10.0,0.0,1.0,27.0,30.0,30.0,21.0,30.0,9.0,1.0,1.0,19.0,533.0,65.0,365.0,115.0,202.0,105.0,184.0,271.0,120.0,160.0,24.0,5.0,0.29,76.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractFilterStringColLikeStringScalar.java,13.0,1.0,11.0,1.0,3.0,10.0,0.0,1.0,27.0,30.0,30.0,21.0,30.0,9.0,1.0,1.0,19.0,533.0,65.0,365.0,115.0,202.0,105.0,184.0,271.0,120.0,160.0,24.0,5.0,0.29,76.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractFilterStringColLikeStringScalar.java,13.0,1.0,11.0,1.0,3.0,10.0,0.0,1.0,27.0,30.0,30.0,21.0,30.0,9.0,1.0,1.0,19.0,533.0,65.0,365.0,115.0,202.0,105.0,184.0,271.0,120.0,160.0,24.0,5.0,0.29,76.0,,1
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractGenericUDAFResolver.java,9.0,1.0,8.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,56.0,6.0,23.0,12.0,6.0,27.0,6.0,10.0,6.0,4.0,2.0,1.0,1.17,3.0,,0
2.1.0,9265bc24d75ac945bde9ce1a0999fddd8f2aae29,AbstractGenericUDFEWAHBitmapBop.java,15.0,1.0,13.0,0.0,2.0,1.0,0.0,0.0,6.0,7.0,7.0,3.0,7.0,1.0,0.0,3.0,3.0,146.0,19.0,106.0,49.0,58.0,21.0,59.0,75.0,46.0,43.0,4.0,1.0,0.2,14.0,,0
