Version,CommitId,Fichier,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Unnamed: 34,is_bug
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ACIDBenchmarks.java,6.0,0.0,6.0,0.0,1.0,10.0,2.0,1.0,23.0,23.0,18.0,16.0,20.0,1.0,4.0,0.0,15.0,,265.0,41.0,207.0,98.0,82.0,17.0,94.0,133.0,75.0,66.0,5.0,2.0,0.08,34.0,1
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,1.0,0.0,3.0,10.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,3.0,0.16,29.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AMReporter.java,12.0,0.0,10.0,1.0,2.0,10.0,0.0,1.0,41.0,41.0,41.0,34.0,41.0,13.0,2.0,4.0,22.0,,618.0,71.0,487.0,185.0,256.0,60.0,239.0,328.0,168.0,196.0,7.0,3.0,0.12,77.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ANTLRNoCaseStringStream.java,8.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,55.0,6.0,18.0,8.0,7.0,31.0,8.0,13.0,7.0,7.0,3.0,1.0,1.72,4.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ASTBuilder.java,19.0,1.0,17.0,1.0,5.0,1.0,14.0,1.0,20.0,20.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,,443.0,40.0,365.0,78.0,283.0,38.0,161.0,199.0,71.0,148.0,72.0,2.0,0.1,109.0,1
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ASTConverter.java,19.0,1.0,15.0,3.0,4.0,8.0,7.0,4.0,55.0,55.0,48.0,26.0,55.0,15.0,18.0,3.0,19.0,,1284.0,146.0,963.0,336.0,605.0,175.0,506.0,724.0,342.0,487.0,24.0,4.0,0.18,203.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,0.0,0.95,5.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ASTErrorUtils.java,7.0,0.0,7.0,0.0,1.0,1.0,10.0,1.0,10.0,10.0,0.0,0.0,10.0,0.0,3.0,0.0,7.0,,106.0,15.0,72.0,17.0,44.0,19.0,42.0,57.0,17.0,44.0,2.0,1.0,0.26,14.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ASTNode.java,10.0,1.0,8.0,1.0,2.0,1.0,1.0,2.0,30.0,30.0,29.0,8.0,30.0,0.0,9.0,1.0,20.0,,382.0,55.0,267.0,88.0,143.0,61.0,135.0,195.0,77.0,136.0,11.0,4.0,0.23,63.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,ASTNodeOrigin.java,7.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,5.0,6.0,0.0,0.0,0.0,6.0,,97.0,10.0,32.0,15.0,10.0,55.0,17.0,24.0,14.0,10.0,1.0,0.0,1.72,6.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AWSSecretsManagerSecretSource.java,12.0,0.0,9.0,3.0,2.0,1.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,1.0,1.0,0.0,3.0,,109.0,9.0,59.0,24.0,26.0,42.0,27.0,40.0,20.0,23.0,5.0,2.0,0.71,11.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AWSSecretsManagerSecretSourceTest.java,5.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,7.0,7.0,7.0,2.0,7.0,0.0,0.0,0.0,7.0,,74.0,11.0,45.0,25.0,13.0,23.0,22.0,30.0,18.0,13.0,1.0,0.0,0.51,7.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortCompactResponse.java,8.0,0.0,7.0,0.0,2.0,6.0,4.0,6.0,41.0,39.0,37.0,4.0,41.0,1.0,3.0,0.0,37.0,,431.0,68.0,338.0,95.0,175.0,28.0,140.0,224.0,83.0,157.0,6.0,4.0,0.08,77.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortCompactionFunction.java,12.0,0.0,12.0,0.0,2.0,2.0,0.0,2.0,9.0,9.0,7.0,4.0,7.0,0.0,2.0,0.0,5.0,,188.0,24.0,147.0,57.0,85.0,17.0,71.0,89.0,52.0,47.0,4.0,3.0,0.12,16.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortCompactionRequest.java,10.0,0.0,9.0,0.0,3.0,6.0,4.0,9.0,52.0,50.0,48.0,8.0,52.0,1.0,3.0,0.0,48.0,,632.0,83.0,522.0,116.0,303.0,36.0,216.0,347.0,98.0,270.0,12.0,4.0,0.07,138.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortCompactionResponseElement.java,9.0,0.0,9.0,1.0,2.0,6.0,4.0,10.0,49.0,47.0,45.0,9.0,49.0,1.0,3.0,0.0,45.0,,577.0,80.0,469.0,108.0,281.0,37.0,200.0,316.0,88.0,244.0,12.0,3.0,0.08,122.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortCompactionsAnalyzer.java,7.0,0.0,7.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,51.0,5.0,29.0,20.0,7.0,17.0,19.0,24.0,19.0,7.0,2.0,1.0,0.59,3.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortCompactionsDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,,49.0,6.0,23.0,15.0,5.0,20.0,13.0,17.0,13.0,4.0,1.0,0.0,0.87,3.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortCompactionsOperation.java,10.0,1.0,9.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,,80.0,9.0,51.0,20.0,25.0,20.0,33.0,42.0,20.0,24.0,4.0,3.0,0.39,7.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTransactionsAnalyzer.java,6.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,53.0,5.0,28.0,20.0,6.0,20.0,18.0,23.0,19.0,6.0,2.0,1.0,0.71,3.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTransactionsDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,,44.0,6.0,18.0,13.0,3.0,20.0,10.0,13.0,11.0,2.0,1.0,0.0,1.11,2.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTransactionsOperation.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,39.0,4.0,15.0,9.0,3.0,20.0,8.0,11.0,8.0,3.0,1.0,0.0,1.33,2.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnEvent.java,7.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,6.0,6.0,3.0,6.0,0.0,0.0,0.0,6.0,,86.0,11.0,38.0,19.0,11.0,37.0,21.0,28.0,17.0,11.0,2.0,1.0,0.97,7.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnFunction.java,29.0,3.0,25.0,2.0,6.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,,105.0,12.0,73.0,34.0,38.0,20.0,48.0,60.0,33.0,34.0,10.0,3.0,0.27,11.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnHandler.java,8.0,1.0,7.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,2.0,0.0,0.0,2.0,,70.0,9.0,44.0,24.0,15.0,17.0,25.0,33.0,21.0,14.0,4.0,2.0,0.39,7.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnHandler.java,25.0,3.0,20.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,61.0,5.0,33.0,18.0,14.0,23.0,18.0,22.0,15.0,9.0,3.0,1.0,0.7,3.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnInfoHandler.java,11.0,0.0,11.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0,,131.0,10.0,96.0,38.0,59.0,25.0,44.0,51.0,34.0,23.0,4.0,2.0,0.26,8.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnMessage.java,3.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,,39.0,6.0,9.0,6.0,1.0,24.0,5.0,7.0,6.0,1.0,1.0,0.0,2.67,1.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnRequest.java,10.0,0.0,9.0,1.0,3.0,6.0,4.0,12.0,54.0,52.0,50.0,11.0,54.0,1.0,3.0,0.0,50.0,,687.0,89.0,557.0,119.0,346.0,53.0,244.0,380.0,98.0,301.0,15.0,3.0,0.1,148.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnsFunction.java,27.0,1.0,21.0,5.0,3.0,1.0,0.0,1.0,5.0,5.0,5.0,5.0,5.0,0.0,3.0,0.0,2.0,,209.0,20.0,147.0,65.0,79.0,42.0,93.0,115.0,64.0,67.0,8.0,3.0,0.29,16.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortTxnsRequest.java,9.0,0.0,8.0,0.0,2.0,6.0,4.0,9.0,47.0,45.0,43.0,7.0,47.0,1.0,3.0,0.0,43.0,,522.0,74.0,421.0,106.0,235.0,33.0,179.0,282.0,91.0,209.0,9.0,4.0,0.08,104.0,1
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortedTxnCleaner.java,14.0,1.0,11.0,3.0,2.0,1.0,0.0,1.0,8.0,8.0,4.0,0.0,4.0,0.0,2.0,0.0,2.0,,165.0,17.0,105.0,47.0,60.0,43.0,62.0,75.0,41.0,45.0,8.0,3.0,0.41,18.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbortedTxnHandler.java,9.0,0.0,9.0,0.0,2.0,1.0,0.0,0.0,4.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,4.0,,84.0,8.0,58.0,31.0,24.0,18.0,37.0,44.0,28.0,20.0,3.0,2.0,0.31,6.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbstractAddPartitionAnalyzer.java,19.0,2.0,16.0,2.0,4.0,1.0,0.0,0.0,4.0,7.0,7.0,0.0,7.0,1.0,2.0,4.0,0.0,,135.0,17.0,94.0,48.0,45.0,27.0,60.0,72.0,43.0,36.0,8.0,3.0,0.29,14.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbstractAlterDataConnectorAnalyzer.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,,42.0,4.0,18.0,12.0,4.0,20.0,12.0,15.0,12.0,4.0,1.0,0.0,1.11,2.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbstractAlterDataConnectorDesc.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,,43.0,7.0,16.0,11.0,3.0,20.0,9.0,12.0,10.0,2.0,1.0,0.0,1.25,2.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbstractAlterDataConnectorOperation.java,10.0,1.0,8.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,,55.0,8.0,25.0,15.0,9.0,22.0,16.0,20.0,14.0,9.0,2.0,1.0,0.88,3.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbstractAlterDatabaseAnalyzer.java,4.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,,42.0,4.0,18.0,12.0,4.0,20.0,12.0,15.0,12.0,4.0,1.0,0.0,1.11,2.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbstractAlterDatabaseDesc.java,5.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0,,54.0,8.0,22.0,14.0,5.0,24.0,13.0,17.0,13.0,4.0,1.0,0.0,1.09,3.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbstractAlterDatabaseOperation.java,12.0,2.0,10.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,3.0,0.0,0.0,1.0,2.0,,59.0,9.0,30.0,15.0,13.0,21.0,18.0,23.0,14.0,12.0,3.0,1.0,0.7,4.0,0
4.0.0,183f8cb41d3dbed961ffd27999876468ff06690c,AbstractAlterResourcePlanStatusOperation.java,25.0,2.0,21.0,3.0,5.0,1.0,0.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,1.0,1.0,1.0,,119.0,14.0,79.0,28.0,44.0,29.0,41.0,56.0,26.0,35.0,8.0,3.0,0.37,14.0,0
