Version,CommitId,Fichier,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxNesting,RatioCommentToCode,SumCyclomatic,Unnamed: 34,is_bug
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,ACLConfigurationParser.java,11.0,0.0,11.0,0.0,3.0,1.0,0.0,3.0,10.0,10.0,10.0,2.0,10.0,0.0,3.0,0.0,7.0,167.0,22.0,125.0,38.0,70.0,20.0,57.0,89.0,37.0,58.0,11.0,,3.0,0.16,29.0,0
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,AMReporter.java,12.0,0.0,11.0,1.0,2.0,9.0,0.0,1.0,34.0,34.0,34.0,31.0,34.0,10.0,0.0,3.0,21.0,525.0,60.0,412.0,152.0,213.0,53.0,195.0,268.0,135.0,155.0,7.0,,3.0,0.13,65.0,1
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,AMReporter.java,12.0,0.0,11.0,1.0,2.0,9.0,0.0,1.0,34.0,34.0,34.0,31.0,34.0,10.0,0.0,3.0,21.0,525.0,60.0,412.0,152.0,213.0,53.0,195.0,268.0,135.0,155.0,7.0,,3.0,0.13,65.0,1
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,AMReporter.java,12.0,0.0,11.0,1.0,2.0,9.0,0.0,1.0,34.0,34.0,34.0,31.0,34.0,10.0,0.0,3.0,21.0,525.0,60.0,412.0,152.0,213.0,53.0,195.0,268.0,135.0,155.0,7.0,,3.0,0.13,65.0,1
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,AMReporter.java,12.0,0.0,11.0,1.0,2.0,9.0,0.0,1.0,34.0,34.0,34.0,31.0,34.0,10.0,0.0,3.0,21.0,525.0,60.0,412.0,152.0,213.0,53.0,195.0,268.0,135.0,155.0,7.0,,3.0,0.13,65.0,1
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,AMReporter.java,12.0,0.0,11.0,1.0,2.0,9.0,0.0,1.0,34.0,34.0,34.0,31.0,34.0,10.0,0.0,3.0,21.0,525.0,60.0,412.0,152.0,213.0,53.0,195.0,268.0,135.0,155.0,7.0,,3.0,0.13,65.0,1
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,1.0,14.0,0.0,18.0,18.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,351.0,32.0,292.0,64.0,214.0,27.0,133.0,165.0,60.0,120.0,64.0,,2.0,0.09,90.0,1
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,ASTBuilder.java,16.0,1.0,15.0,1.0,5.0,1.0,14.0,0.0,18.0,18.0,4.0,1.0,18.0,0.0,0.0,0.0,18.0,351.0,32.0,292.0,64.0,214.0,27.0,133.0,165.0,60.0,120.0,64.0,,2.0,0.09,90.0,1
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,ASTConverter.java,18.0,1.0,15.0,2.0,4.0,7.0,2.0,2.0,38.0,38.0,36.0,24.0,38.0,11.0,9.0,2.0,16.0,870.0,99.0,673.0,242.0,412.0,98.0,354.0,524.0,249.0,345.0,21.0,,5.0,0.15,144.0,0
2.2.0,bd94a9c7ecf32662d59734d70d76bc187febf05d,ASTErrorNode.java,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0.0,5.0,49.0,8.0,21.0,18.0,6.0,20.0,12.0,18.0,13.0,5.0,1.0,,0.0,0.95,5.0,0
